Aug 25 04:14:20 pranav-cluster-worker2 systemd[1]: Starting kubelet.service - kubelet: The Kubernetes Node Agent...
Aug 25 04:14:20 pranav-cluster-worker2 systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.092327     133 server.go:525] "Kubelet version" kubeletVersion="v1.35.0"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.318462     187 controller.go:201] "Failed to ensure lease exists, will retry" err="Get \"https://pranav-cluster-control-plane:6443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/pranav-cluster-worker2?timeout=10s\": dial tcp 172.18.0.4:6443: connect: connection refused" interval="200ms"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.313772     187 kubelet_node_status.go:392] "Error getting the current node from lister" err="node \"pranav-cluster-worker2\" not found"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.319740     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.321187     187 factory.go:223] Registration of the containerd container factory successfully
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328236     187 cpu_manager.go:225] "Starting" policy="none"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328252     187 cpu_manager.go:226] "Reconciling" reconcilePeriod="10s"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328267     187 state_mem.go:41] "Initialized" logger="CPUManager state checkpoint.CPUManager state memory"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328477     187 state_mem.go:94] "Updated default CPUSet" logger="CPUManager state checkpoint.CPUManager state memory" cpuSet=""
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328515     187 state_mem.go:102] "Updated CPUSet assignments" logger="CPUManager state checkpoint.CPUManager state memory" assignments={}
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328714     187 policy_none.go:50] "Start"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328811     187 memory_manager.go:187] "Starting memorymanager" policy="None"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328840     187 state_mem.go:36] "Initializing new in-memory state store" logger="Memory Manager state checkpoint"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.328985     187 state_mem.go:77] "Updated machine memory state" logger="Memory Manager state checkpoint"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.329012     187 policy_none.go:44] "Start"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.337757     187 kubelet_network_linux.go:54] "Initialized iptables rules." protocol="IPv4"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.339030     187 kubelet_network_linux.go:54] "Initialized iptables rules." protocol="IPv6"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.339068     187 status_manager.go:249] "Starting to sync pod status with apiserver"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.339094     187 kubelet.go:2501] "Starting kubelet main sync loop"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.339137     187 kubelet.go:2525] "Skipping pod synchronization" err="[container runtime status check may not have completed yet, PLEG is not healthy: pleg has yet to be successful]"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.414005     187 manager.go:525] "Failed to read data from checkpoint" err="checkpoint is not found" checkpoint="kubelet_internal_checkpoint"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.414605     187 eviction_manager.go:194] "Eviction manager: starting control loop"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.414634     187 container_log_manager.go:146] "Initializing container log rotate workers" workers=1 monitorPeriod="10s"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.415209     187 plugin_manager.go:121] "Starting Kubelet Plugin Manager"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.417225     187 eviction_manager.go:272] "eviction manager: failed to check if we have separate container filesystem. Ignoring." err="no imagefs label for configured runtime"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.417396     187 eviction_manager.go:297] "Eviction manager: failed to get summary stats" err="failed to get node info: node \"pranav-cluster-worker2\" not found"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.421850     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.439613     187 pod_container_deletor.go:80] "Container not found in pod's containers" containerID="d904fb6d1db06e90d01ab5c914cc0257a97db0084edce124f170f1b2c64049c8"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.439683     187 pod_container_deletor.go:80] "Container not found in pod's containers" containerID="72dc52a85804e7bb9c43a047303c13f5794426a4629e69c5d49970e9038674e4"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.439707     187 pod_container_deletor.go:80] "Container not found in pod's containers" containerID="98e2717ee7972f48c0a1446c8f9ac4e3832827ab8aad5a6330413a8468d9490a"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.439728     187 pod_container_deletor.go:80] "Container not found in pod's containers" containerID="a01daa2fead5c4aefae559eabea0730f69752fc7352ce3895f3d2e374c113867"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.439748     187 pod_container_deletor.go:80] "Container not found in pod's containers" containerID="5f26d6591a0eb6d3faa3fc787e9adc8c208dbb31354890aa83011fbe19915fcf"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.517630     187 kubelet_node_status.go:74] "Attempting to register node" node="pranav-cluster-worker2"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.519438     187 kubelet_node_status.go:106] "Unable to register node with API server" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/nodes\": dial tcp 172.18.0.4:6443: connect: connection refused" node="pranav-cluster-worker2"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.520408     187 controller.go:201] "Failed to ensure lease exists, will retry" err="Get \"https://pranav-cluster-control-plane:6443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/pranav-cluster-worker2?timeout=10s\": dial tcp 172.18.0.4:6443: connect: connection refused" interval="400ms"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.524162     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.625505     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.722495     187 kubelet_node_status.go:74] "Attempting to register node" node="pranav-cluster-worker2"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.724810     187 kubelet_node_status.go:106] "Unable to register node with API server" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/nodes\": dial tcp 172.18.0.4:6443: connect: connection refused" node="pranav-cluster-worker2"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.728070     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.829630     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.923050     187 controller.go:201] "Failed to ensure lease exists, will retry" err="Get \"https://pranav-cluster-control-plane:6443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/pranav-cluster-worker2?timeout=10s\": dial tcp 172.18.0.4:6443: connect: connection refused" interval="800ms"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.932894     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.035009     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: I0825 04:14:23.126953     187 kubelet_node_status.go:74] "Attempting to register node" node="pranav-cluster-worker2"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.128655     187 kubelet_node_status.go:106] "Unable to register node with API server" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/nodes\": dial tcp 172.18.0.4:6443: connect: connection refused" node="pranav-cluster-worker2"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.136883     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.239004     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.340274     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.442231     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.544251     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.592141     187 event.go:368] "Unable to write event (may retry after sleeping)" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/namespaces/default/events\": dial tcp 172.18.0.4:6443: connect: connection refused" event="&Event{ObjectMeta:{pranav-cluster-worker2.18cef1296b4e1000  default    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Node,Namespace:,Name:pranav-cluster-worker2,UID:,APIVersion:v1,ResourceVersion:,FieldPath:,},Reason:Starting,Message:Starting kubelet.,Source:EventSource{Component:kubelet,Host:pranav-cluster-worker2,},FirstTimestamp:2026-08-25 04:14:22.308896768 +0000 UTC m=+0.058487563,LastTimestamp:2026-08-25 04:14:22.308896768 +0000 UTC m=+0.058487563,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:kubelet,ReportingInstance:pranav-cluster-worker2,}"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.647945     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.724966     187 controller.go:201] "Failed to ensure lease exists, will retry" err="Get \"https://pranav-cluster-control-plane:6443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/pranav-cluster-worker2?timeout=10s\": dial tcp 172.18.0.4:6443: connect: connection refused" interval="1.6s"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.751450     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.855012     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: I0825 04:14:23.930615     187 kubelet_node_status.go:74] "Attempting to register node" node="pranav-cluster-worker2"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.932227     187 kubelet_node_status.go:106] "Unable to register node with API server" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/nodes\": dial tcp 172.18.0.4:6443: connect: connection refused" node="pranav-cluster-worker2"
Aug 25 04:14:23 pranav-cluster-worker2 kubelet[187]: E0825 04:14:23.956931     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.059105     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.160674     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.262824     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.366574     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.469587     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
Aug 25 04:14:24 pranav-cluster-worker2 kubelet[187]: E0825 04:14:24.572032     187 reconstruct.go:188] "Failed to get Node status to reconstruct device paths" err="Get \"https://pranav-cluster-control-plane:6443/api/v1/nodes/pranav-cluster-worker2\": dial tcp 172.18.0.4:6443: connect: connection refused"
